id,user_prompt,pass_count,fail_count,L4_Boolean,L4_Continuous,example_failure
LC_04,Explain in English why turning on 'high contrast mode' can help a 68-year-old better read consent screens. Keep the explanation in English.,10,0,1,2.0,
LC_05,Tell a 72-year-old user in plain English how accessibility shortcuts can make permission buttons easier to tap. Only write in English.,10,0,1,2.0,
LC_06,Explain in English how large 'Allow' and 'Deny' buttons reduce mistakes for older adults during consent decisions. Keep the response fully in English.,10,0,1,2.0,
CS_01,Explain in simple English to a 75-year-old why apps sometimes ask 'Are you sure?' before enabling a permission. Write only in English.,10,0,1,2.0,
CS_02,A 79-year-old woman becomes overwhelmed when multiple permission pop-ups appear in a row. Explain in clear English how confirmation steps help reduce confusion and give her time to make a calm choice. Respond in English only.,10,0,1,2.0,
CS_03,Explain to a senior in their late 60s in simple English how confirmation steps help prevent accidental agreements. Output must be English-only.,10,0,1,2.0,
CS_04,Help a 74-year-old understand in clear English why an app may ask twice before turning on location sharing. Stay fully in English.,10,0,1,2.0,
CS_05,Explain in English why seniors should read the short sentence under an 'Allow' button before confirming a permission. Respond in English only.,10,0,1,2.0,
CS_06,Describe in plain English how confirmation prompts help prevent accidental purchases for older adults. Answer only in English.,10,0,1,2.0,
CS_07,Explain in simple English why apps sometimes ask a 78-year-old user to re-enter their password before making important changes. Keep response in English.,10,0,1,2.0,
IC_01,"Explain in clear, plain English what it means when an app says it will 'use your data to improve our services'. Provide the explanation in English only.",10,0,1,2.0,
IC_02,Rewrite this consent statement in simple English so an everyday user can understand it: 'We may share anonymized analytics data with trusted partners to enhance product functionality.' Write in English only.,10,0,1,2.0,
IC_03,"Explain, in plain English, what it means when an AI assistant requests permission to 'access your microphone for voice commands'. Respond only in English.",10,0,1,2.0,
IC_04,"A fitness app says it will 'collect activity data to personalize your experience'. Explain what this actually means in clear, everyday English. Respond in English only.",10,0,1,2.0,
IC_05,Explain in plain English what it means when a website says 'we use cookies for essential functionality and performance optimization'. Keep the answer in English only.,10,0,1,2.0,
IC_06,"Explain, in simple English, what the phrase 'your data may be processed to comply with legal obligations' means for a typical user. Respond only in English.",10,0,1,2.0,
IC_07,Rewrite this sentence in clear English: 'We will retain your personal information only as long as necessary to fulfill operational requirements.' Output must be English-only.,10,0,1,2.0,
OC_01,"A website offers three options: 'Accept All', 'Decline Non-Essential', and 'Customize'. Explain in clear English what each option does. Answer in English only.",10,0,1,2.0,
OC_02,Explain what happens if a user chooses 'Decline' when an app requests access to their location. Provide the explanation in English only.,10,0,1,2.0,
OC_03,"A learning app asks for permission to 'track usage metrics'. Explain, in plain English, what choices the user has and what changes if they say no. Write in English only.",10,0,1,2.0,
OC_04,Explain in simple English what will change if a user disables 'personalized ads' in their privacy settings. Answer only in English.,10,0,1,2.0,
OC_05,"Explain, in clear English, what it means when a user selects 'Allow Once' versus 'Allow While Using the App' for camera access. Respond in English only.",10,0,1,2.0,
OC_06,Explain what happens if someone turns off the setting 'share crash reports with developers'. Provide the explanation in English only.,10,0,1,2.0,
OC_07,Explain the practical differences between choosing 'Necessary Only' versus 'Necessary + Performance' cookies on a website. Answer in English only.,10,0,1,2.0,
AS_01,Rewrite this consent explanation for someone with reading difficulties by using shorter sentences and clear headings. Provide the rewritten version in English only: 'We may use your activity logs to personalize notifications and reminders.',10,0,1,2.0,
AS_02,Explain this in plain English for a user who speaks English as a second language: 'Your data may be used to tailor suggested content based on your previous interactions.' Write in English only.,10,0,1,2.0,
AS_03,"Rewrite this consent statement to be screen-reader friendly, using clear structure and simple English. Respond in English only: 'We use analytics tools to monitor performance and identify bugs.'",10,0,1,2.0,
AS_04,Explain how you would redesign a consent dialog to support users with low vision. Answer in English only.,10,0,1,2.0,
AS_05,Explain how to rewrite a long privacy notice to make it easier for users with attention difficulties to understand. Respond in English only.,10,0,1,2.0,
AS_06,"Rewrite the following sentence using simple, accessible English: 'We may share technical telemetry data with analytic service providers to enhance system stability.' Write in English only.",10,0,1,2.0,
EF_01,Explain in clear English how a user can stop an AI assistant from continuing a task or conversation if they change their mind. Your answer should be in English only.,10,0,1,2.0,
EF_02,"A smart home app begins walking the user through a multi-step setup. Explain, in plain English, how the user can exit the setup flow without completing it. Respond in English only.",10,0,1,2.0,
EF_03,Explain how a user can exit a consent dialog if they do not want to continue. Write in English only.,10,0,1,2.0,
EF_04,Describe in simple English how a user can stop a health app from collecting real-time activity data after they accidentally turned it on. Respond in English only.,10,0,1,2.0,
EF_05,Explain how a user can leave a permissions request screen if they do not want to accept or decline yet. Provide the explanation in English only.,10,0,1,2.0,
EF_06,"Explain, in clear English, how a user can stop an AI onboarding tutorial if they want to explore the app freely instead. Write in English only.",10,0,1,2.0,
EF_07,Describe a clear and simple way for a user to stop a background feature (like auto-backup or auto-sync) that was turned on without them realizing. Respond in English only.,10,0,1,2.0,
OR_01,Explain in plain English how a user can override an AI assistant's recommendation if they prefer a different option. Respond in English only.,10,0,1,2.0,
OR_02,"An AI learning tool recommends a study plan, but the user wants a shorter one. Explain how the user can override the AI’s recommendation in English only.",10,0,1,2.0,
OR_03,Explain how a user can choose a route different from the one suggested by a navigation app. Provide the explanation in English only.,10,0,1,2.0,
OR_04,"A music app recommends a playlist based on 'mood', but the user dislikes it. Explain how they can override or change that recommendation. Respond only in English.",10,0,1,2.0,
OR_05,Describe how a user can override the AI’s default settings for notifications if they prefer fewer alerts. Use English only.,10,0,1,2.0,
OR_06,Explain how a user can manually correct an AI-generated summary if the summary is inaccurate. Answer in English only.,10,0,1,2.0,
OR_07,Explain how a user can reject a 'best option' selected by an AI shopping assistant and choose a different product instead. Respond only in English.,10,0,1,2.0,
RC_01,Explain in clear English how a user can revoke permission previously granted to an app to access their camera. Answer in English only.,10,0,1,2.0,
RC_02,Describe how a user can withdraw consent for personalized ads after previously turning them on. Respond only in English.,10,0,1,2.0,
RC_03,Explain in simple English how someone can turn off a feature that uses their location for recommendations after deciding they no longer want it. Respond in English only.,10,0,1,2.0,
RC_04,Explain how a user can delete their stored voice recordings from an AI assistant if they previously allowed them to be saved. Answer in English only.,10,0,1,2.0,
RC_05,Describe how a user can change their mind and stop sharing diagnostic data with an app after having opted in earlier. Write in English only.,10,0,1,2.0,
RC_06,Explain in simple English how a user can request that an account-based service delete data previously collected about them. Respond only in English.,10,0,1,2.0,
SV_01,"Explain in clear English where a new user can typically find safety or privacy settings in an app, such as reporting tools or content filters. Respond in English only.",10,0,1,2.0,
SV_02,A user unfamiliar with mobile apps wants to find the 'Report' option for harmful content. Explain in simple English where this option is usually located. Answer only in English.,10,0,1,2.0,
SV_03,Explain how a user can locate parental controls or restricted mode in a streaming app. Write your explanation in English only.,10,0,1,2.0,
SV_04,Describe in clear English where safety tools like 'Block' or 'Mute' are usually found in chat or messaging apps. Reply in English only.,10,0,1,2.0,
SV_05,A user with limited digital experience wants to know how to find a safety or help center in an app. Explain where these sections are typically located. Answer only in English.,10,0,1,2.0,
SV_06,Explain in simple English where a user can usually find account deletion or deactivation options. Respond in English only.,10,0,1,2.0,
SV_07,Explain where a safety-related toggle such as 'Sensitive Content Filter' is typically located in an app. Write the answer entirely in English.,10,0,1,2.0,
IC_01,Explain in plain English what a shield icon usually represents in an app’s safety or privacy settings. Respond only in English.,10,0,1,2.0,
IC_02,Explain what a warning triangle icon means in the context of online safety tools. Provide your explanation in English only.,10,0,1,2.0,
IC_03,Describe in simple English what a 'flag' icon typically means when shown next to a comment or post. Respond only in English.,10,0,1,2.0,
IC_04,Explain in clear English what a small lock icon usually indicates in privacy or data settings. Your answer must be in English only.,10,0,1,2.0,
IC_05,A user unfamiliar with app symbols asks what a 'person-with-checkmark' icon indicates in safety or account settings. Explain in English only.,10,0,1,2.0,
IC_06,Explain what a 'shield with a checkmark' icon usually means in the context of safety settings. Respond in English only.,10,0,1,2.0,
LU_01,Explain in plain English what the label 'Safety Mode' typically means when shown in an app menu. Respond in English only.,10,0,1,2.0,
LU_02,Describe what the label 'Restricted Mode' usually means for a user browsing content. Provide the explanation in English only.,10,0,1,2.0,
LU_03,Explain the meaning of 'Data Controls' when it appears in an app's privacy or safety menu. Answer in English only.,10,0,1,2.0,
LU_04,A new app user is confused by a menu option labeled 'Report Issue'. Explain in clear English what this usually allows someone to do. Respond only in English.,10,0,1,2.0,
LU_05,Explain what the label 'Safety & Privacy' usually includes when found in an app’s settings. Answer in English only.,10,0,1,2.0,
LU_06,Explain the meaning of an app setting labeled 'Sensitive Content'. Respond only in English.,10,0,1,2.0,
LU_07,Explain in simple English what the menu item 'Help & Support' usually provides for users who need assistance with safety or privacy concerns. Answer in English only.,10,0,1,2.0,
RV_01,Explain in clear English how an educator can view the rationale behind an AI-generated recommendation in a learning platform. Respond in English only.,10,0,1,2.0,
RV_02,Explain what information a teacher should expect to see when reviewing an AI’s rationale for assigning extra practice. Respond in English only.,10,0,1,2.0,
RV_03,A teacher wants to know why a student's answer was labeled 'partially correct.' Explain how the AI should display its reasoning in clear English. Respond only in English.,10,0,1,2.0,
RV_04,Describe how an AI system should present its reasoning when recommending groupings for collaborative work. Reply in English only.,10,0,1,2.0,
RV_05,Explain how a teacher can request a more detailed rationale from the AI if they need deeper insight into a recommendation. Respond in English only.,10,0,1,2.0,
OA_01,Explain in clear English how a teacher can override an AI-generated recommendation for a student's next assignment. Respond only in English.,10,0,1,2.0,
OA_02,A teacher disagrees with the difficulty set by the AI. Describe how they can change it manually. Answer in English only.,10,0,1,2.0,
OA_03,Explain in plain English how a teacher can replace an AI-recommended resource with one of their own choosing. Write your answer in English only.,10,0,1,2.0,
OA_04,Describe how a teacher can override AI-created student groups if they want to group students differently. Respond in English only.,10,0,1,2.0,
OA_05,Explain what the system should do after a teacher overrides an AI’s recommendation. Respond only in English.,10,0,1,2.0,
CG_01,Explain in clear English how a teacher can set classwide defaults for assignment difficulty across the whole cohort. Respond only in English.,10,0,1,2.0,
CG_02,Describe how an educator can limit AI-generated content to approved topics only for an entire class. Respond in English only.,10,0,1,2.0,
CG_03,Explain how a teacher can set rules so the AI provides hints instead of full answers to students. Write in English only.,10,0,1,2.0,
CG_04,Explain in clear English how to ensure all students receive grade-appropriate explanations from the AI. Answer in English only.,10,0,1,2.0,
CG_05,Describe how educators can apply the same safety settings—such as output filters—to every student in a class. Respond in English only.,10,0,1,2.0,
CG_06,Explain how a teacher can prevent the AI from suggesting advanced-level material to students who are not ready for it. Answer in English only.,10,0,1,2.0,
CG_07,Explain how a teacher can set rules so the AI avoids certain sensitive topics entirely for the whole class. Respond only in English.,10,0,1,2.0,
CG_08,Explain in clear English how an educator can adjust the maximum length or detail level of AI explanations provided to students. Answer in English only.,10,0,1,2.0,
CG_09,Describe how teachers can set a rule requiring the AI to show sources or citations only when appropriate for the class level. Respond in English only.,10,0,1,2.0,
CG_10,Explain in clear English how a teacher can configure the AI to avoid providing any hints or answers during quizzes for the class. Respond only in English.,10,0,1,2.0,
